FriendlyName,Operation,Description
Added delegation entry,Add delegation entry.,An authentication permission was created/granted to an application in Microsoft Entra ID.
Added service principal,Add service principal.,An application was registered in Microsoft Entra ID. An application is represented by a service principal in the directory.
Added credentials to a service principal,Add service principal credentials.,Credentials were added to a service principal in Microsoft Entra ID. A service principle represents an application in the directory.
Removed delegation entry,Remove delegation entry.,An authentication permission was removed from an application in Microsoft Entra ID.
Removed a service principal from the directory,Remove service principal.,An application was deleted/unregistered from Microsoft Entra ID. An application is represented by a service principal in the directory.
Removed credentials from a service principal,Remove service principal credentials.,Credentials were removed from a service principal in Microsoft Entra ID. A service principle represents an application in the directory.
Set delegation entry,Set delegation entry.,An authentication permission was updated for an application in Microsoft Entra ID.
Updated organization privacy settings,UpdatedOrganizationBriefingSettings,Admin updates the organization privacy settings for Briefing email.
Updated user privacy settings,UpdatedUserBriefingSettings,Admin updates the user privacy settings for Briefing email.
Policy update,SupervisionPolicyDeleted,A communication compliance administrator has performed a policy update.
Policy update,SupervisionPolicyUpdated,A communication compliance administrator has performed a policy update.
Policy update,SupervisionPolicyCreated,A communication compliance administrator has performed a policy update.
Policy match,SupervisionRuleMatch,A user has sent a message that matches a policy's condition.
Tag applied to message(s),SupervisoryReviewTag,Tags are applied to messages or messages are resolved.
Accessed item,LabelContentExplorerAccessedItem,An admin (or a user who's a member of the Content Explorer Content Viewer role group) uses content explorer to view an email message or SharePoint/OneDrive document.
Interacted with Copilot,CopilotInteraction,"A user, or admin or system on behalf of a user, entered prompts in Copilot."
Added domain to company,Add domain to company.,Added a domain to your organization.
Added a partner to the directory,Add partner to company.,Added a partner (delegated administrator) to your organization.
Removed domain from company,Remove domain from company.,Removed a domain from your organization.
Removed a partner from the directory,Remove partner from company.,Removed a partner (delegated administrator) from your organization.
Set company information,Set company information.,"Updated the company information for your organization. Includes email addresses for subscription-related email sent by Microsoft 365, and technical notifications about Microsoft 365 services."
Set domain authentication,Set domain authentication.,Changed the domain authentication setting for your organization.
Updated the federation settings for a domain,Set federation settings on domain.,Changed the federation (external sharing) settings for your organization.
Set password policy,Set password policy.,Changed the length and character constraints for user passwords in your organization.
Turned on Azure AD Sync,Set DirSyncEnabled flag.,Set the property that enables a directory for Azure AD Sync.
Updated domain,Update domain.,Updated the settings of a domain in your organization.
Verified domain,Verify domain.,Verified that your organization is the owner of a domain.
Verified email verified domain,Verify email verified domain.,Used email verification to verify that your organization is the owner of a domain.
